benefit_month,county,program_type,cases,recipients,children,adults,payments,avg_payment_per_case,avg_payment_per_recipient
2024-01-01,Fisher,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Floyd,TANF Basic,2,3,2,1,338.18,159.05,104.92
2024-01-01,Foard,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Fort Bend,TANF Basic,66,160,125,36,15191.77,230.48,94.9
2024-01-01,Franklin,TANF Basic,2,3,2,1,448.8,211.07,139.24
2024-01-01,Freestone,TANF Basic,5,14,12,2,1076.7,202.55,77.09
2024-01-01,Frio,TANF Basic,9,19,16,3,2006.96,235.97,103.77
2024-01-01,Gaines,TANF Basic,3,4,4,0,438.26,137.41,101.98
2024-01-01,Galveston,TANF Basic,53,97,83,13,9834.61,185.01,101.7
2024-01-01,Garza,TANF Basic,1,2,2,0,183.31,172.43,85.31
2024-01-01,Gillespie,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Glasscock,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Goliad,TANF Basic,1,2,2,0,183.31,172.43,85.31
2024-01-01,Gonzales,TANF Basic,1,5,4,1,247.58,232.87,46.09
2024-01-01,Gray,TANF Basic,2,6,5,1,609.99,286.88,94.62
2024-01-01,Grayson,TANF Basic,24,52,42,10,5348.72,218.74,103.71
2024-01-01,Gregg,TANF Basic,27,56,45,11,5929.21,223.08,106.13
2024-01-01,Grimes,TANF Basic,5,9,6,2,1080.91,203.34,125.75
2024-01-01,Guadalupe,TANF Basic,15,38,29,9,4060.27,272.8,107.97
2024-01-01,Hale,TANF Basic,3,12,10,2,1159.93,363.68,98.14
2024-01-01,Hall,TANF Basic,3,8,6,1,757.48,237.5,100.72
2024-01-01,Hamilton,TANF Basic,2,6,5,1,627.9,295.3,97.4
2024-01-01,Hansford,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Hardeman,TANF Basic,2,5,4,1,555.21,261.12,103.35
2024-01-01,Hardin,TANF Basic,11,23,17,6,2462.08,231.59,109.12
2024-01-01,Harris,TANF Basic,915,2142,1709,437,214884.46,234.75,100.3
2024-01-01,Harrison,TANF Basic,16,40,34,6,3374.43,211.6,84.88
2024-01-01,Hartley,TANF Basic,1,3,2,1,371.89,349.81,115.38
2024-01-01,Haskell,TANF Basic,1,3,3,0,256.01,240.8,79.42
2024-01-01,Hays,TANF Basic,19,45,33,12,4605.99,240.69,102.07
2024-01-01,Hemphill,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Henderson,TANF Basic,17,32,28,4,3344.93,196.64,103.77
2024-01-01,Hidalgo,TANF Basic,1131,3219,3077,127,256177.2,226.47,79.58
2024-01-01,Hill,TANF Basic,9,18,14,4,2017.49,237.21,110.46
2024-01-01,Hockley,TANF Basic,6,13,11,2,1383.27,216.85,107.29
2024-01-01,Hood,TANF Basic,11,19,16,3,2130.22,200.37,110.15
2024-01-01,Hopkins,TANF Basic,7,21,20,1,1842.61,247.6,85.75
2024-01-01,Houston,TANF Basic,10,24,20,3,2037.51,212.95,86.2
2024-01-01,Howard,TANF Basic,5,15,13,2,1434.89,269.94,95.39
2024-01-01,Hudspeth,TANF Basic,2,3,2,1,448.8,211.07,139.24
2024-01-01,Hunt,TANF Basic,23,54,38,16,6165.2,263.59,114.76
2024-01-01,Hutchinson,TANF Basic,5,10,6,3,1094.61,205.92,113.2
2024-01-01,Irion,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Jack,TANF Basic,1,1,1,0,114.83,108.01,106.88
2024-01-01,Jackson,TANF Basic,2,4,3,1,499.37,234.86,116.19
2024-01-01,Jasper,TANF Basic,13,29,25,4,2866.63,224.7,98.82
2024-01-01,Jeff Davis,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Jefferson,TANF Basic,106,257,199,59,25272.9,237.72,98.42
2024-01-01,Jim Hogg,TANF Basic,1,2,2,0,183.31,172.43,85.31
2024-01-01,Jim Wells,TANF Basic,17,44,33,11,4383.7,257.71,99.51
2024-01-01,Johnson,TANF Basic,29,61,52,9,5974.51,208.14,97.56
2024-01-01,Jones,TANF Basic,4,13,10,3,1395.91,328.25,108.27
2024-01-01,Karnes,TANF Basic,2,2,2,0,254.95,119.91,118.65
2024-01-01,Kaufman,TANF Basic,41,106,91,16,10204.4,246.11,95.93
2024-01-01,Kendall,TANF Basic,3,10,7,2,995.58,312.15,102.96
2024-01-01,Kenedy,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Kent,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Kerr,TANF Basic,3,6,5,1,682.68,214.05,105.9
2024-01-01,Kimble,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,King,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Kinney,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Kleberg,TANF Basic,19,49,36,13,5356.1,279.89,108.37
2024-01-01,Knox,TANF Basic,1,4,3,1,446.69,420.16,103.94
2024-01-01,La Salle,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Lamar,TANF Basic,31,57,45,12,6362.21,206.36,111.73
2024-01-01,Lamb,TANF Basic,6,14,12,2,1310.58,205.46,93.83
2024-01-01,Lampasas,TANF Basic,4,8,6,1,603.67,141.95,80.26
2024-01-01,Lavaca,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Lee,TANF Basic,4,6,5,1,759.59,178.62,117.83
2024-01-01,Leon,TANF Basic,3,10,9,1,862.83,270.53,89.23
2024-01-01,Liberty,TANF Basic,24,46,41,6,4767.18,194.96,103.19
2024-01-01,Limestone,TANF Basic,10,19,15,4,2210.29,231.0,114.29
2024-01-01,Lipscomb,TANF Basic,1,2,1,1,321.32,302.24,149.53
2024-01-01,Live Oak,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Llano,TANF Basic,2,2,1,1,261.27,122.88,121.59
2024-01-01,Loving,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Lubbock,TANF Basic,79,169,131,38,17450.51,221.81,103.45
2024-01-01,Lynn,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Madison,TANF Basic,6,11,10,1,1139.91,178.7,106.09
2024-01-01,Marion,TANF Basic,2,2,2,0,254.95,119.91,118.65
2024-01-01,Martin,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Mason,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Matagorda,TANF Basic,13,28,25,3,2500.0,195.96,89.49
2024-01-01,Maverick,TANF Basic,16,46,38,8,3919.1,245.76,84.83
2024-01-01,Mcculloch,TANF Basic,1,4,4,0,305.52,287.38,71.09
2024-01-01,Mclennan,TANF Basic,65,153,120,33,15239.17,234.99,99.88
2024-01-01,Mcmullen,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Medina,TANF Basic,9,19,15,4,1989.05,233.87,102.85
2024-01-01,Menard,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Midland,TANF Basic,22,52,43,9,4885.17,218.81,94.72
2024-01-01,Milam,TANF Basic,5,11,9,2,1209.44,227.52,112.57
2024-01-01,Mills,TANF Basic,1,3,2,1,345.55,325.03,107.21
2024-01-01,Mitchell,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Montague,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Montgomery,TANF Basic,84,186,156,30,18646.26,222.01,100.32
2024-01-01,Moore,TANF Basic,5,12,10,2,1191.53,224.15,100.82
2024-01-01,Morris,TANF Basic,7,13,12,1,1282.13,172.28,99.44
2024-01-01,Motley,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Nacogdoches,TANF Basic,13,24,19,4,2567.43,201.25,108.62
2024-01-01,Navarro,TANF Basic,19,43,37,6,4191.96,219.06,97.54
2024-01-01,Newton,TANF Basic,3,8,5,2,876.53,274.82,116.54
2024-01-01,Nolan,TANF Basic,2,2,2,0,254.95,119.91,118.65
2024-01-01,Nueces,TANF Basic,149,349,275,74,35268.7,236.96,101.0
2024-01-01,Ochiltree,TANF Basic,1,2,2,0,183.31,172.43,85.31
2024-01-01,Oldham,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Orange,TANF Basic,30,77,59,19,7949.87,267.06,102.77
2024-01-01,Palo Pinto,TANF Basic,3,4,4,0,419.3,131.47,97.56
2024-01-01,Panola,TANF Basic,4,6,5,1,741.68,174.41,115.05
2024-01-01,Parker,TANF Basic,15,26,19,7,2982.52,200.39,115.66
2024-01-01,Parmer,TANF Basic,1,2,1,1,321.32,302.24,149.53
2024-01-01,Pecos,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Polk,TANF Basic,18,35,29,7,3878.01,214.57,109.38
2024-01-01,Potter,TANF Basic,29,72,54,18,7593.78,264.55,105.49
2024-01-01,Presidio,TANF Basic,5,12,12,0,979.77,184.32,82.9
2024-01-01,Rains,TANF Basic,5,9,7,1,898.65,169.06,104.55
2024-01-01,Randall,TANF Basic,16,30,23,7,3172.15,198.92,105.44
2024-01-01,Reagan,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Real,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Red River,TANF Basic,7,21,20,1,1741.47,234.01,81.04
2024-01-01,Reeves,TANF Basic,6,12,10,2,1314.79,206.12,111.25
2024-01-01,Refugio,TANF Basic,3,5,3,2,705.86,221.31,131.39
2024-01-01,Roberts,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Robertson,TANF Basic,4,12,10,2,1202.07,282.67,101.71
2024-01-01,Rockwall,TANF Basic,13,31,25,7,3330.18,261.03,106.88
2024-01-01,Runnels,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Rusk,TANF Basic,4,9,7,1,884.96,208.1,102.96
2024-01-01,Sabine,TANF Basic,2,4,3,1,504.64,237.33,117.42
2024-01-01,San Jacinto,TANF Basic,7,15,13,2,1395.91,187.57,92.8
2024-01-01,San Juneine,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,San Patricio,TANF Basic,14,40,31,9,3690.48,267.02,92.83
2024-01-01,San Saba,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Schleicher,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Scurry,TANF Basic,6,12,10,2,1336.92,209.59,113.12
2024-01-01,Shackelford,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Shelby,TANF Basic,5,8,7,0,732.2,137.74,97.35
2024-01-01,Sherman,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Smith,TANF Basic,38,81,60,21,8990.74,234.91,111.57
2024-01-01,Somervell,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Starr,TANF Basic,58,159,149,9,12619.07,215.81,79.36
2024-01-01,Stephens,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Sterling,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Stonewall,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Sutton,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Swisher,TANF Basic,1,5,4,1,496.21,466.74,92.37
2024-01-01,Tarrant,TANF Basic,395,988,800,190,97125.11,245.58,98.26
2024-01-01,Taylor,TANF Basic,48,90,69,21,8770.56,183.33,97.18
2024-01-01,Terrell,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Terry,TANF Basic,5,16,12,4,1672.99,314.73,103.81
2024-01-01,Throckmorton,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Titus,TANF Basic,5,16,13,3,1415.93,266.37,87.86
2024-01-01,Tom Green,TANF Basic,20,42,33,9,4397.39,217.7,104.94
2024-01-01,Travis,TANF Basic,159,340,253,88,37781.35,236.92,111.28
2024-01-01,Trinity,TANF Basic,2,4,3,1,376.11,176.89,87.51
2024-01-01,Tyler,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Upshur,TANF Basic,10,17,15,2,1829.97,191.25,106.45
2024-01-01,Upton,TANF Basic,2,3,2,1,448.8,211.07,139.24
2024-01-01,Uvalde,TANF Basic,13,23,20,2,2193.43,171.93,97.21
2024-01-01,Val Verde,TANF Basic,29,72,56,17,7490.53,260.95,104.05
2024-01-01,Van Zandt,TANF Basic,9,17,16,1,1636.12,192.37,95.17
2024-01-01,Victoria,TANF Basic,19,33,28,6,3660.98,191.31,109.92
2024-01-01,Walker,TANF Basic,18,37,32,4,3376.53,186.82,92.43
2024-01-01,Waller,TANF Basic,11,34,31,3,3032.03,285.2,88.19
2024-01-01,Ward,TANF Basic,2,4,4,0,370.84,174.41,86.29
2024-01-01,Washington,TANF Basic,6,15,12,3,1498.11,234.86,99.6
2024-01-01,Webb,TANF Basic,115,317,297,19,25888.16,225.47,81.68
2024-01-01,Wharton,TANF Basic,10,16,12,4,1794.15,187.51,111.32
2024-01-01,Wheeler,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Wichita,TANF Basic,52,110,89,21,10932.38,209.86,99.76
2024-01-01,Wilbarger,TANF Basic,3,8,5,2,821.75,257.65,109.26
2024-01-01,Willacy,TANF Basic,15,38,30,8,3509.28,235.78,93.32
2024-01-01,Williamson,TANF Basic,41,96,68,28,10429.85,251.55,109.07
2024-01-01,Wilson,TANF Basic,6,12,10,2,1309.53,205.29,110.8
2024-01-01,Winkler,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Wise,TANF Basic,9,20,18,2,1852.09,217.76,90.73
2024-01-01,Wood,TANF Basic,12,26,23,2,2476.83,211.79,96.05
2024-01-01,Yoakum,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Young,TANF Basic,6,11,9,2,1264.22,198.19,117.67
2024-01-01,Zapata,TANF Basic,4,13,9,4,1536.03,361.2,119.14
2024-01-01,Zavala,TANF Basic,5,8,6,1,869.15,163.51,115.56
2024-01-01,Anderson,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Andrews,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Angelina,TANF State Program,1,2,2,0,185.98,171.06,85.17
2024-01-01,Aransas,TANF State Program,1,5,3,2,122.92,113.06,22.52
2024-01-01,Archer,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Armstrong,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Atascosa,TANF State Program,1,5,3,2,361.27,332.29,66.18
2024-01-01,Austin,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Bailey,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Bandera,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Bastrop,TANF State Program,1,3,1,2,412.57,379.48,125.96
2024-01-01,Baylor,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Bee,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Bell,TANF State Program,8,27,15,12,2595.16,341.0,95.07
2024-01-01,Bexar,TANF State Program,16,46,25,21,4901.72,300.57,106.89
2024-01-01,Blanco,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Borden,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Bosque,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Bowie,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Brazoria,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Brazos,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Brewster,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Briscoe,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Brooks,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Brown,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Burleson,TANF State Program,1,4,2,2,463.88,426.67,106.21
2024-01-01,Burnet,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Caldwell,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Calhoun,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Callahan,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Cameron,TANF State Program,7,23,12,11,2383.52,365.39,103.95
2024-01-01,Camp,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Carson,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Cass,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Castro,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Chambers,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Cherokee,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Childress,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Clay,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Cochran,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Coke,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Coleman,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Collin,TANF State Program,8,28,23,5,2516.06,330.6,88.63
2024-01-01,Collingsworth,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Colorado,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Comal,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Comanche,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Concho,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Cooke,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Coryell,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Cottle,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Crane,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Crockett,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Crosby,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Culberson,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Dallam,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Dallas,TANF State Program,10,33,16,16,3290.97,336.33,100.47
2024-01-01,Dawson,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Deaf Smith,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Delta,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Denton,TANF State Program,1,3,3,0,259.73,238.89,79.29
2024-01-01,Dewitt,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Dickens,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Dimmit,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Donley,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Duval,TANF State Program,1,3,2,1,377.3,347.04,115.19
2024-01-01,Eastland,TANF State Program,1,2,1,1,326.0,299.85,149.29
2024-01-01,Ector,TANF State Program,1,1,1,0,129.33,118.96,118.45
2024-01-01,Edwards,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,El Paso,TANF State Program,12,41,22,20,3654.38,305.57,88.08
2024-01-01,Ellis,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Erath,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Falls,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Fannin,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Fayette,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Fisher,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Floyd,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Foard,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Fort Bend,TANF State Program,2,5,3,2,300.35,138.13,55.02
2024-01-01,Franklin,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Freestone,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Frio,TANF State Program,1,1,0,1,157.12,144.52,143.9
2024-01-01,Gaines,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Galveston,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Garza,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Gillespie,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Glasscock,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Goliad,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Gonzales,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Gray,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Grayson,TANF State Program,2,7,3,3,710.78,326.88,108.5
2024-01-01,Gregg,TANF State Program,2,4,2,2,541.9,249.22,124.08
2024-01-01,Grimes,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Guadalupe,TANF State Program,1,2,2,0,129.33,118.96,59.23
2024-01-01,Hale,TANF State Program,1,3,2,1,377.3,347.04,115.19
2024-01-01,Hall,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Hamilton,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Hansford,TANF State Program,0,0,0,0,0.0,0.0,0.0
2024-01-01,Hardeman,TANF State Program,0,0,0,0,0.0,0.0,0.0
